,0
413,ad
414,adam
415,add
416,addict
417,address
418,admit
419,adopt
420,ador
421,adult
422,advic
423,af
424,afford
425,afraid
426,african
427,age
428,ago
429,agre
430,ah
431,ah bitch
432,aha
433,aid
434,aint
435,aint fuck
436,aint got
437,aint hoe
438,aint loyal
439,aint shit
440,air
441,aka
442,al
443,alabama
444,albino
445,album
446,alcohol
447,alex
448,alien
449,aliv
450,allow
451,almost
452,alon
453,along
454,alot
455,alreadi
456,alreadi know
457,alright
458,also
459,alway
460,alway bitch
461,alway get
462,alway wanna
463,alway want
464,amaz
465,amber
466,america
467,american
468,amo
469,amp
470,amp I
471,amp amp
472,amp bitch
473,amp get
474,amp got
475,amp hi
476,amp hoe
477,amp nigga
478,amp u
479,anal
480,anchor
481,android
482,android iphon
483,android iphon ipad
484,angel
485,anglo
486,angri
487,angri bird
488,ani
489,ani bitch
490,ani nigga
491,ani pussi
492,anim
493,anim cracker
494,ankl
495,ann
496,annoy
497,anoth
498,anoth bitch
499,anoth man
500,anoth nigga
501,answer
502,anthem
503,anti
504,anybodi
505,anymor
506,anyon
507,anyth
508,anyway
509,anywher
510,apart
511,ape
512,ape shit
513,apolog
514,app
515,appar
516,appear
517,appl
518,appreci
519,arab
520,area
521,argu
522,argument
523,arizona
524,arm
525,armi
526,around
527,around thi
528,arrest
529,art
530,artist
531,asf
532,asham
533,asian
534,asian bitch
535,asian massag
536,asian massag ON
537,asid
538,ask
539,ask I
540,ask bitch
541,asleep
542,ass
543,ass I
544,ass back
545,ass beat
546,ass bitch
547,ass bitch I
548,ass cracker
549,ass fuck
550,ass girl
551,ass hoe
552,ass like
553,ass nicca
554,ass nigga
555,ass nigga bitch
556,ass niggah
557,ass nigguh
558,ass peopl
559,ass pussi
560,asshol
561,associ
562,assum
563,astro
564,ate
565,atlanta
566,atleast
567,attack
568,attempt
569,attend
570,attent
571,attitud
572,attract
573,august
574,aunt
575,austin
576,autocorrect
577,automat
578,avail
579,averag
580,avi
581,avoid
582,aw
583,award
584,away
585,awe
586,awesom
587,aye
588,ayo
589,azz
590,b
591,b c
592,babe
593,babi
594,babi I
595,babi daddi
596,back
597,back I
598,back bitch
599,back hoe
600,back thi
601,background
602,bacon
603,bad
604,bad I
605,bad ass
606,bad bitch
607,bad bitch I
608,bad bitch come
609,bad bitch onli
610,bad hoe
611,badass
612,baddest
613,baddest bitch
614,bae
615,bag
616,bait
617,bake
618,baker
619,bald
620,bald head
621,ball
622,baltimor
623,ban
624,banana
625,band
626,bandwagon
627,bang
628,bank
629,bar
630,bare
631,base
632,basebal
633,bash
634,basic
635,basic ass
636,basic ass bitch
637,basic bitch
638,basketbal
639,bastard
640,bat
641,bath
642,battl
643,bc
644,bc I
645,bday
646,beach
647,bean
648,beaner
649,beani
650,bear
651,beard
652,beast
653,beat
654,beat bitch
655,beat pussi
656,beauti
657,becam
658,becaus
659,becaus I
660,becaus bitch
661,becaus fuck
662,becom
663,bed
664,bee
665,beef
666,beer
667,befor
668,befor I
669,befor hoe
670,beg
671,begin
672,behind
673,bein
674,believ
675,believ I
676,bell
677,belli
678,belong
679,belt
680,benz
681,besid
682,best
683,best asian
684,best asian massag
685,best friend
686,best pussi
687,bestfriend
688,bet
689,bet I
690,betta
691,better
692,better bitch
693,better get
694,beyonc
695,beyond
696,bf
697,big
698,big ass
699,big bird
700,big bitch
701,big booti
702,big booti bitch
703,big booti hoe
704,bigger
705,biggest
706,biggest bitch
707,biggest hoe
708,bike
709,bill
710,bio
711,bird
712,bird I
713,bird feather
714,bird get
715,bird get worm
716,bird one
717,birth
718,birthday
719,birthday bitch
720,bit
721,bitch
722,bitch A
723,bitch I
724,bitch I fuck
725,bitch I got
726,bitch I guess
727,bitch I hate
728,bitch I know
729,bitch I like
730,bitch I wa
731,bitch I want
732,bitch My
733,bitch No
734,bitch act
735,bitch act like
737,bitch aint
738,bitch alreadi
739,bitch alway
740,bitch amp
741,bitch ask
742,bitch ass
743,bitch ass nigga
744,bitch attitud
746,bitch babi
747,bitch back
748,bitch bad
749,bitch beauti
750,bitch becaus
751,bitch befor
752,bitch better
753,bitch bitch
755,bitch bout
756,bitch boy
757,bitch broke
758,bitch bruh
759,bitch bye
760,bitch call
761,bitch came
762,bitch cant
763,bitch caus
764,bitch cheat
765,bitch come
766,bitch complain
767,bitch cook
768,bitch cool
769,bitch could
770,bitch crazi
771,bitch cri
772,bitch cuz
773,bitch damn
774,bitch dat
775,bitch day
776,bitch deserv
777,bitch dick
778,bitch die
779,bitch done
780,bitch dont
781,bitch dress
782,bitch drive
783,bitch dude
784,bitch dumb
785,bitch eat
786,bitch even
787,bitch ever
788,bitch everi
789,bitch everyth
790,bitch face
791,bitch fake
792,bitch follow
793,bitch fuck
794,bitch fuck nigga
795,bitch fuckin
796,bitch gay
797,bitch get
798,bitch get money
799,bitch gettin
800,bitch give
801,bitch go
802,bitch gon
803,bitch gone
804,bitch gonna
805,bitch good
806,bitch got
807,bitch gotta
808,bitch gt
809,bitch ha
810,bitch haha
811,bitch happi
812,bitch hate
813,bitch hi
814,bitch hit
815,bitch hoe
816,bitch hot
817,bitch hous
818,bitch im
819,bitch ima
820,bitch ju
821,bitch keep
822,bitch kill
823,bitch know
824,bitch leav
825,bitch left
826,bitch let
827,bitch like
828,bitch like I
829,bitch liter
830,bitch live
831,bitch lmao
832,bitch lmfao
833,bitch lol
834,bitch long
835,bitch look
836,bitch look like
837,bitch love
838,bitch mad
839,bitch made
840,bitch made nigga
841,bitch make
842,bitch man
843,bitch mine
844,bitch money
845,bitch much
846,bitch must
847,bitch n
848,bitch nah
849,bitch name
850,bitch need
851,bitch never
852,bitch next
853,bitch nigga
854,bitch nobodi
855,bitch one
856,bitch onli
857,bitch onli thing
858,bitch open
859,bitch peopl
860,bitch play
861,bitch pleas
862,bitch post
863,bitch pussi
864,bitch put
865,bitch real
866,bitch realli
867,bitch respect
868,bitch right
869,bitch run
870,bitch said
871,bitch say
872,bitch say I
873,bitch see
874,bitch sell
875,bitch send
876,bitch shit
877,bitch show
878,bitch shut
879,bitch side
880,bitch slap
881,bitch smell
882,bitch smell like
883,bitch smh
884,bitch someth
885,bitch start
886,bitch stay
887,bitch stfu
888,bitch still
889,bitch stop
890,bitch stupid
891,bitch suck
892,bitch suck dick
893,bitch take
894,bitch talk
895,bitch talk shit
896,bitch tell
897,bitch text
898,bitch thi
899,bitch think
900,bitch tho
901,bitch time
902,bitch today
903,bitch told
904,bitch tonight
905,bitch tri
906,bitch tryna
907,bitch turn
908,bitch tweet
909,bitch twitter
910,bitch u
911,bitch ugli
912,bitch use
913,bitch w
914,bitch wa
915,bitch walk
916,bitch wanna
917,bitch want
918,bitch watch
919,bitch wear
920,bitch well
921,bitch whi
922,bitch wit
923,bitch work
924,bitch world
925,bitch would
926,bitch wtf
927,bitch ya
928,bitch yeah
929,bitch yo
930,bitchin
931,bite
932,bitter
933,bitter bitch
934,bitti
935,black
936,black bitch
937,black girl
938,black man
939,black peopl
940,blah
941,blah blah
942,blame
943,blanket
944,blast
945,bless
946,bless jesu
947,blew
948,blew high
949,blind
950,block
951,blond
952,blood
953,bloodi
954,blow
955,blue
956,blunt
957,boat
958,bob
959,bobbi
960,bobbi bitch
961,bodi
962,bodi count
963,boi
964,boil
965,bomb
966,bone
967,boo
968,boob
969,book
970,boon
971,boosi
972,boot
973,booti
974,booti bitch
975,booti hoe
976,border
977,bore
978,born
979,borrow
980,boss
981,boss ass
982,boss ass bitch
983,bother
984,bottl
985,bottom
986,bought
987,bounc
988,bound
989,bout
990,bout I
991,bout bitch
992,bout get
993,bout hoe
994,bout make
995,bout shit
996,bouta
997,bow
998,bowl
999,box
1000,boy
1001,boy I
1002,boyfriend
1003,bra
1004,bradi
1005,brag
1006,brah
1007,brain
1008,brand
1009,brandon
1010,brazil
1011,bread
1012,break
1013,breakfast
1014,breast
1015,breath
1016,breed
1017,breh
1018,bright
1019,bring
1020,bring food
1021,british
1022,bro
1023,bro I
1024,bro befor
1025,bro befor hoe
1026,broad
1027,broke
1028,broke bitch
1029,broke hoe
1030,broke nigga
1031,broken
1032,bron
1033,bronx
1034,brooklyn
1035,brother
1036,brought
1037,brown
1038,browni
1039,browni I
1040,bruh
1041,bruh I
1042,bruis
1043,bs
1044,btw
1045,bu
1046,bubbl
1047,buck
1048,bucket
1049,bud
1050,buddi
1051,bug
1052,build
1053,built
1054,bull
1055,bullet
1056,bulli
1057,bullshit
1058,bum
1059,bump
1060,bunch
1061,bunni
1062,burger
1063,burn
1064,burnt
1065,bush
1066,busi
1067,bust
1068,butt
1069,butter
1070,button
1071,buy
1072,buy bitch
1073,bye
1074,bye bitch
1075,c
1076,ca
1077,cage
1078,cake
1079,cali
1080,california
1081,call
1082,call bitch
1083,call hoe
1084,call nigger
1085,call pussi
1086,call someon
1087,callin
1088,calm
1089,came
1090,camel
1091,camera
1092,camp
1093,campaign
1094,campu
1095,cancel
1096,cancer
1097,candi
1098,cannot
1099,cant
1100,cant even
1101,cant tell
1102,cap
1103,captain
1104,caption
1105,car
1106,car I
1107,card
1108,care
1109,career
1110,carri
1111,case
1112,cash
1113,cat
1114,catch
1115,catfish
1116,caught
1117,caus
1118,caus I
1119,caus bitch
1120,caus hoe
1121,caus look
1122,caus pussi
1123,celebr
1124,cell
1125,center
1126,certain
1127,chain
1128,challeng
1129,champion
1130,chanc
1131,chang
1132,charact
1133,charg
1134,charli
1135,charli baker
1136,charli brown
1137,charli crist
1138,charli rangel
1139,charli sheen
1140,charli strong
1141,chase
1142,chase hoe
1143,chat
1144,cheap
1145,cheat
1146,cheat bitch
1147,cheat girl
1148,check
1149,cheek
1150,cheer
1151,chees
1152,cheesecak
1153,chicago
1154,chick
1155,chicken
1156,chief
1157,child
1158,childish
1159,children
1160,chill
1161,chill bitch
1162,chillin
1163,china
1164,chines
1165,chink
1166,chip
1167,chipotl
1168,chocol
1169,choic
1170,choke
1171,choos
1172,choosin
1173,chop
1174,chose
1175,chri
1176,chri brown
1177,christ
1178,christian
1179,christma
1180,chubbi
1181,chuck
1182,chucker
1183,chug
1184,chunki
1185,church
1186,cigarett
1187,circl
1188,citi
1189,claim
1190,clam
1191,class
1192,class orient
1193,class orient massag
1194,classi
1195,classic
1196,cle
1197,clean
1198,clear
1199,clearli
1200,cleveland
1201,click
1202,clip
1203,clock
1204,close
1205,cloth
1206,cloud
1207,clown
1208,club
1209,clue
1210,clutch
1211,co
1212,coach
1213,coast
1214,cock
1215,code
1216,coffe
1217,coke
1218,cold
1219,cole
1220,colleg
1221,color
1222,color contact
1223,color eye
1224,color folk
1225,color glass
1226,color man
1227,colour
1228,columbu
1229,come
1230,come I
1231,come amp
1232,come back
1233,come bitch
1234,come get
1235,come home
1236,come like
1237,comeback
1238,comfort
1239,comin
1240,comment
1241,commerci
1242,commi
1243,commit
1244,common
1245,commun
1246,compani
1247,compar
1248,compet
1249,complain
1250,complet
1251,comput
1252,con
1253,concern
1254,concert
1255,condom
1256,confirm
1257,confus
1258,congrat
1259,conserv
1260,consid
1261,consist
1262,constantli
1263,contact
1264,continu
1265,control
1266,convers
1267,convo
1268,cook
1269,cooki
1270,cool
1271,coon
1272,cop
1273,copi
1274,corn
1275,corner
1276,corni
1277,correct
1278,cost
1279,costum
1280,cotton
1281,couch
1282,could
1283,could fuck
1284,could get
1285,could never
1286,coulda
1287,count
1288,counti
1289,countri
1290,coupl
1291,cours
1292,court
1293,cousin
1294,cover
1295,coward
1296,cowboy
1297,crack
1298,cracker
1299,crap
1300,crash
1301,crazi
1302,crazi bitch
1303,cream
1304,creat
1305,credit
1306,creepi
1307,crew
1308,cri
1309,cri like
1310,cri like bitch
1311,crib
1312,crime
1313,crippl
1314,crist
1315,crook
1316,cross
1317,crow
1318,crowd
1319,crown
1320,cruis
1321,crush
1322,crystal
1323,ctfu
1324,cu
1325,cuddl
1326,cuf
1327,cuff
1328,cuffin
1329,cuh
1330,cultur
1331,cum
1332,cunt
1333,cunt I
1334,cup
1335,curl
1336,current
1337,curs
1338,curv
1339,custom
1340,cut
1341,cut bitch
1342,cute
1343,cuz
1344,cuz I
1345,cuz bitch
1346,cuz u
1347,cyru
1348,da
1349,da bitch
1350,da color
1351,da color folk
1352,da hoe
1353,da pussi
1354,da white
1355,dad
1356,daddi
1357,daili
1358,dalla
1359,dam
1360,damag
1361,damn
1362,damn I
1363,damn bitch
1364,damn near
1365,damn well
1366,danc
1367,danger
1368,daniel
1369,dare
1370,dark
1371,dark skin
1372,darki
1373,darkskin
1374,dat
1375,dat I
1376,dat bitch
1377,dat hoe
1378,dat pussi
1379,dat shit
1380,date
1381,daughter
1382,davi
1383,david
1384,dawg
1385,dawn
1386,day
1387,day I
1388,day bitch
1389,day hoe
1390,day like
1391,day u
1392,de
1393,dead
1394,deal
1395,dear
1396,death
1397,debat
1398,decent
1399,decid
1400,decis
1401,deck
1402,dedic
1403,dee
1404,deep
1405,deez
1406,def
1407,defeat
1408,defend
1409,defens
1410,definit
1411,degener
1412,degre
1413,delet
1415,dem
1416,dem bitch
1417,dem hoe
1418,demand
1419,democrat
1420,demon
1421,den
1422,deni
1423,depend
1424,depress
1425,derek
1426,derek jeter
1427,describ
1428,dese
1429,dese bitch
1430,dese hoe
1431,deserv
1432,design
1433,desper
1434,destroy
1435,detroit
1436,devil
1437,dey
1438,di
1439,di bitch
1440,di hoe
1441,di nicca
1442,diamond
1443,dick
1444,dick I
1445,dick bitch
1446,dick call
1447,didnt
1448,die
1449,die I
1450,die bitch
1451,diet
1452,differ
1453,differ bitch
1454,dig
1455,dike
1456,dink
1457,dinner
1458,dip
1459,direct
1460,dirt
1461,dirti
1462,dirti bitch
1463,discov
1464,discuss
1465,disgrac
1466,disgust
1467,dish
1468,dislik
1469,disrespect
1470,diss
1471,divorc
1472,dm
1473,dnt
1474,doc
1475,doctor
1476,dodg
1477,doe
1478,doe thi
1479,doesnt
1480,dog
1481,doin
1482,doll
1483,dolla
1484,dollar
1485,donald
1486,done
1487,dont
1488,dont even
1489,dont fuck
1490,dont get
1491,dont give
1492,dont know
1493,dont like
1494,dont love
1495,dont mean
1496,dont think
1497,dont wanna
1498,dont want
1499,doo
1500,door
1501,dope
1502,doubl
1503,doubt
1504,douch
1505,download
1506,draft
1507,drag
1508,dragon
1509,drake
1510,drama
1511,draw
1512,dre
1513,dread
1514,dream
1515,dress
1516,dress like
1517,dri
1518,drink
1519,drive
1520,driver
1521,drop
1522,drop bitch
1523,drop hoe
1524,drown
1525,drug
1526,drunk
1527,duck
1528,dude
1529,dude I
1530,duh
1531,dumb
1532,dumb ass
1533,dumb ass bitch
1534,dumb bitch
1535,dumb fuck
1536,dumb hoe
1537,dumbass
1538,dump
1539,dure
1540,dusti
1541,duti
1542,dwight
1543,dyke
1544,e
1545,eagl
1546,ear
1547,earli
1548,earli bird
1549,earli bird get
1550,earlier
1551,earn
1552,earth
1553,easi
1554,easier
1555,easili
1556,east
1557,eat
1558,eat ass
1559,eat pussi
1560,eat shit
1561,eatin
1562,ebola
1563,edg
1564,edit
1565,educ
1566,een
1567,effect
1568,egg
1569,eggplant
1570,ego
1571,eh
1572,either
1573,either way
1574,elect
1575,eleph
1576,elev
1577,eli
1578,els
1579,em
1580,email
1581,embarrass
1582,emoji
1583,emot
1584,en
1585,end
1586,enemi
1587,energi
1588,engag
1589,english
1590,enjoy
1591,enough
1592,entertain
1593,entertain hoe
1594,entir
1595,episod
1596,equal
1597,er
1598,especi
1599,espn
1600,etc
1601,eva
1602,even
1603,even get
1604,even know
1605,even like
1606,even think
1607,even though
1608,ever
1609,ever met
1610,ever seen
1611,everi
1612,everi bitch
1613,everi day
1614,everi nigga
1615,everi night
1616,everi time
1617,everi time I
1618,everi week
1619,everi weekend
1620,everybodi
1621,everybodi bitch
1622,everyday
1623,everyon
1624,everyon els
1625,everyth
1626,everytim
1627,everytim I
1628,everywher
1629,evil
1630,evolv
1631,ew
1632,ewww
1633,ex
1635,exactli
1636,exampl
1637,except
1638,excit
1639,excus
1640,exe
1641,exist
1642,exit
1643,expect
1644,expens
1645,experi
1646,explain
1647,expos
1648,express
1649,extra
1650,extrem
1651,eye
1652,eyebrow
1653,f
1654,fa
1655,face
1656,face bitch
1657,face hoe
1658,facebook
1659,fact
1660,fade
1661,fag
1662,fag I
1663,faggot
1664,faggot I
1665,faggot ass
1666,fail
1667,fair
1668,fairi
1669,fairi tale
1670,faith
1671,fake
1672,fake ass
1673,fake bitch
1674,fall
1675,fall love
1676,fals
1677,fam
1678,fame
1679,famili
1680,famou
1681,fan
1682,fanci
1683,fantasi
1684,far
1685,farewel
1686,farewel captain
1687,fart
1688,fashion
1689,fast
1690,faster
1691,fat
1692,fat ass
1693,fat bitch
1694,fat hoe
1695,father
1696,fault
1697,fav
1698,fave
1699,favor
1700,favorit
1701,favorit line
1702,fb
1703,fck
1704,fear
1705,feather
1706,featur
1707,fed
1708,feed
1709,feel
1710,feel bad
1711,feel bitch
1712,feel like
1713,feel like I
1714,feel sorri
1715,feelin
1716,feet
1717,fell
1718,fell love
1719,fella
1720,fellow
1721,felt
1722,femal
1723,feminist
1724,ferguson
1725,field
1726,fight
1727,fight I
1728,fight bitch
1729,fighter
1730,figur
1731,fill
1732,film
1733,filth
1734,filthi
1735,final
1736,find
1737,find bitch
1738,find hoe
1739,fine
1740,fine bitch
1741,finger
1742,finish
1743,finna
1744,fire
1745,first
1746,first day
1747,first place
1748,first thing
1749,fish
1750,fist
1751,fit
1752,five
1753,fix
1754,flag
1755,flame
1756,flappi
1757,flappi bird
1758,flash
1759,flat
1760,flavor
1761,fleek
1762,flex
1763,fli
1764,flight
1765,flip
1766,flip bird
1767,flirt
1768,flock
1769,flood
1770,floor
1771,florida
1772,flow
1773,flower
1774,flu
1775,fml
1776,fo
1777,fob
1778,focu
1779,foh
1780,folk
1781,follow
1782,follow back
1783,food
1784,fool
1785,foot
1786,footbal
1787,forc
1788,foreign
1789,forev
1790,forget
1791,forgot
1792,form
1793,forreal
1794,forward
1795,foul
1796,found
1797,four
1798,fox
1799,fr
1800,freak
1801,freaki
1802,free
1803,free bird
1804,freez
1805,french
1806,fresh
1807,freshman
1808,frfr
1809,fri
1810,fri chicken
1811,friday
1812,friend
1813,friend I
1814,friend bitch
1815,friend hoe
1816,friendli
1817,frm
1818,fro
1819,front
1820,fruit
1821,fuc
1822,fucc
1823,fucc nicca
1824,fuck
1825,fuck I
1826,fuck amp
1827,fuck around
1828,fuck ass
1829,fuck bad
1830,fuck bad bitch
1831,fuck bitch
1832,fuck bitch I
1833,fuck bitch get
1834,fuck boy
1835,fuck cunt
1836,fuck dat
1837,fuck dat bitch
1838,fuck em
1839,fuck fag
1840,fuck faggot
1841,fuck fuck
1842,fuck gay
1843,fuck girl
1844,fuck go
1845,fuck hate
1846,fuck hoe
1847,fuck life
1848,fuck like
1850,fuck nigga
1851,fuck nigga bitch
1852,fuck niggah
1853,fuck nigger
1854,fuck outta
1855,fuck pussi
1856,fuck queer
1857,fuck retard
1858,fuck right
1859,fuck right pussi
1860,fuck shit
1861,fuck stupid
1862,fuck thi
1863,fuck trash
1864,fuck u
1865,fuck ur
1866,fuck w
1867,fuck wit
1868,fuck wrong
1869,fuck ya
1870,fuck yall
1871,fuck yeah
1872,fuck yo
1873,fuck yo bitch
1874,fucken
1875,fucker
1876,fuckin
1877,fuckin bitch
1878,fuckin hoe
1879,fuckin wit
1880,fugli
1881,fuk
1882,full
1883,full retard
1884,full white
1885,full white trash
1886,fun
1887,function
1888,funki
1889,funni
1890,funniest
1891,futur
1892,fuzzi
1893,fw
1894,g
1895,ga
1896,gabbi
1897,game
1898,game I
1899,gang
1900,garbag
1901,garden
1902,gator
1903,gave
1904,gay
1905,gay ass
1906,gener
1907,genuin
1908,georg
1909,get
1910,get I
1911,get ass
1912,get back
1913,get bad
1914,get beat
1915,get bitch
1916,get caught
1917,get dem
1918,get free
1919,get fuck
1920,get good
1921,get hi
1922,get high
1923,get hit
1924,get hoe
1925,get home
1926,get job
1927,get life
1928,get mad
1929,get money
1930,get new
1931,get offend
1932,get one
1933,get outta
1934,get pregnant
1935,get pussi
1936,get real
1937,get rid
1938,get right
1939,get shot
1940,get thi
1941,get thi bitch
1942,get trap
1943,get twitter
1944,get worm
1945,get ya
1946,get yo
1947,gettin
1948,gf
1949,ghetto
1950,ghetto ass
1951,ghetto girl
1952,ghetto u
1953,ghost
1954,giant
1955,gift
1956,gimm
1957,girl
1958,girl I
1959,girl bitch
1960,girl get
1961,girl got
1962,girl hoe
1963,girl like
1964,girl look
1965,girl pussi
1966,girl realli
1967,girl say
1968,girl talk
1969,girl tweet
1970,girl u
1971,girl wear
1972,girlfriend
1973,give
1974,give bitch
1975,give fuck
1976,give head
1977,give hoe
1978,give pussi
1979,given
1980,glad
1981,glad I
1982,glass
1983,glizzi
1984,glo
1985,go
1986,go away
1987,go back
1988,go bitch
1989,go crazi
1990,go fuck
1991,go full
1992,go get
1993,go hard
1994,go home
1995,go like
1996,go sleep
1997,go talk
1998,goal
1999,goat
2000,god
2001,god I
2002,god damn
2003,goddamn
2004,goe
2005,goin
2006,gold
2007,gon
2008,gon get
2009,gone
2010,gone get
2011,gone hoe
2012,gonna
2013,gonna get
2014,gonna hoe
2015,gonna make
2016,good
2017,good I
2018,good bitch
2019,good day
2020,good girl
2021,good job
2022,good luck
2023,good morn
2024,good one
2025,good pussi
2026,good thing
2027,good weed
2028,good woman
2029,goodnight
2030,goofi
2031,googl
2032,gook
2033,gop
2034,gorgeou
2035,gorilla
2036,gossip
2037,gossip like
2038,got
2039,got ass
2040,got bad
2041,got bad bitch
2042,got bitch
2043,got bodi
2044,got damn
2045,got fuck
2046,got good
2047,got hella
2048,got hi
2049,got hoe
2050,got like
2051,got man
2052,got mani
2053,got money
2054,got new
2055,got nigga
2056,got noth
2057,got one
2058,got problem
2059,got problem bitch
2060,got pussi
2061,got shit
2062,got someth
2063,got thi
2064,got time
2065,got type
2066,got type bad
2067,got yo
2068,gotta
2069,gotta bitch
2070,gotta get
2071,gotta go
2072,gotta keep
2073,gotta love
2074,gotta take
2075,gotten
2076,gov
2077,govern
2078,governor
2079,grab
2080,grade
2081,graduat
2082,graham
2083,graham cracker
2084,gram
2085,grand
2086,grand open
2087,grand open top
2088,grandma
2089,grandpa
2090,grass
2091,great
2092,greatest
2093,green
2094,grew
2095,grill
2096,grind
2097,gross
2098,ground
2099,group
2100,groupi
2101,grow
2102,grown
2103,gt
2104,gt I
2105,gt gt
2106,gt gt gt
2107,gtfo
2108,guala
2109,guarante
2110,gucci
2111,guess
2112,guess I
2113,guilti
2114,guinea
2115,guinea pig
2116,gum
2117,gun
2118,gunna
2119,gut
2120,guy
2121,guy I
2122,gym
2123,h
2124,ha
2125,ha bitch
2126,ha hoe
2127,hack
2128,haha
2129,haha I
2130,haha bitch
2131,hahaha
2132,hahahaha
2133,hair
2134,haircut
2135,hairi
2136,hairi pussi
2137,half
2138,half breed
